Car,Direction,Shape,Wheel,Length,closed,jagged,Load,open_car,tr_double
car_11,east,rectangle,wheel2,tr_long,false,false,rectangleL,true,false
car_12,east,rectangle,wheel2,tr_short,true,false,triangleL,false,false
car_13,east,rectangle,wheel3,tr_long,false,false,hexagonL,true,false
car_14,east,rectangle,wheel2,tr_short,false,false,circleL,true,false
car_21,east,u_shaped,wheel2,tr_short,false,false,triangleL,true,false
car_22,east,u_shaped,wheel2,tr_short,false,false,rectangleL,true,false
car_23,east,rectangle,wheel2,tr_short,true,false,circleL,false,false
car_31,east,rectangle,wheel2,tr_short,false,false,circleL,true,false
car_32,east,hexagon,wheel2,tr_short,true,false,triangleL,false,false
car_33,east,rectangle,wheel3,tr_long,true,false,triangleL,false,false
car_41,east,u_shaped,wheel2,tr_short,false,false,triangleL,true,false
car_42,east,rectangle,wheel2,tr_short,false,false,triangleL,true,true
car_43,east,ellipse,wheel2,tr_short,true,false,rectangleL,false,false
car_44,east,rectangle,wheel2,tr_short,false,false,rectangleL,true,false
car_51,east,rectangle,wheel2,tr_short,false,false,triangleL,true,true
car_52,east,rectangle,wheel2,tr_long,true,false,rectangleL,false,false
car_53,east,rectangle,wheel3,tr_short,true,false,circleL,false,false
car_61,west,rectangle,wheel2,tr_long,true,false,circleL,false,false
car_62,west,rectangle,wheel2,tr_short,false,false,triangleL,true,false
car_71,west,rectangle,wheel2,tr_short,false,false,circleL,true,true
car_72,west,u_shaped,wheel2,tr_short,false,false,triangleL,true,false
car_73,west,rectangle,wheel2,tr_long,false,true,nilL,false,false
car_81,west,rectangle,wheel3,tr_long,true,false,rectangleL,false,false
car_82,west,u_shaped,wheel2,tr_short,false,false,circleL,true,false
car_91,west,u_shaped,wheel2,tr_short,false,false,circleL,true,false
car_92,west,rectangle,wheel2,tr_long,false,true,rectangleL,false,false
car_93,west,rectangle,wheel2,tr_short,false,false,rectangleL,true,false
car_94,west,u_shaped,wheel2,tr_short,false,false,circleL,true,false
car_101,west,u_shaped,wheel2,tr_short,false,false,rectangleL,true,false
car_102,west,rectangle,wheel2,tr_long,false,false,rectangleL,true,false
